stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
20873,5075,COIN LES CUVRY,,+49.033545,+06.155086,0,10449
20875,5076,LE CHAVEAU,,+49.032105,+06.150964,0,10450
20877,5077,POURNOY LA CHETIVE,,+49.020783,+06.155125,0,10451
20935,737,SAULNY CENTRE,,+49.158584,+06.106055,0,10482
10482,SCENT,SAULNY CENTRE,,+49.158584,+06.106055,1,
20933,738,RUE DE METZ,,+49.155718,+06.112978,0,10481
10481,RUEDE,RUE DE METZ,,+49.155757,+06.113044,1,
20931,739,PLACE PUBLIQUE,,+49.154456,+06.118011,0,10480
10480,PUBLI,PLACE PUBLIQUE,,+49.154534,+06.118039,1,
21231,959,LAVANDIERES,,+49.148296,+06.124059,0,10630
10630,Lavan,LAVANDIERES,,+49.148340,+06.124132,1,
21232,960,LAVANDIERES,,+49.148385,+06.124206,0,10630
20932,744,PLACE PUBLIQUE,,+49.154613,+06.118068,0,10480
20934,745,RUE DE METZ,,+49.155796,+06.113110,0,10481
20846,498,ROGET,,+49.149197,+06.168863,0,10436
10436,ROGET,ROGET,,+49.149039,+06.168155,1,
21109,740,POULMAIRE,,+49.151192,+06.166926,0,10571
10571,Poulm,POULMAIRE,,+49.151142,+06.166347,1,
21106,741,JP PECHEUR,,+49.152122,+06.161751,0,10570
10570,PECHE,JP PECHEUR,,+49.152082,+06.161591,1,
21104,742,RUISSEAU,,+49.151022,+06.158542,0,10569
10569,RUISS,RUISSEAU,,+49.151067,+06.158629,1,
20832,459,GAMBETTA,,+49.149390,+06.159635,0,10429
10429,GAMBE,GAMBETTA,,+49.149233,+06.159854,1,
21171,857,WOIPPY (Gare),,+49.148682,+06.155426,0,10601
10601,WGARE,WOIPPY (Gare),,+49.148658,+06.155342,1,
21186,858,JUNGLING,,+49.148411,+06.152358,0,10602
10602,Jungl,JUNGLING,,+49.148442,+06.152532,1,
20845,441,LADONCHAMPS,,+49.153984,+06.152469,0,10435
10435,4LADO,LADONCHAMPS,,+49.154173,+06.152733,1,
20829,457,PLACE DE FRANCE,,+49.156314,+06.153220,0,10427
10427,WPF,PLACE DE FRANCE,,+49.156314,+06.153220,1,
20844,442,LADONCHAMPS,,+49.154362,+06.152998,0,10435
21185,859,JUNGLING,,+49.148473,+06.152707,0,10602
21170,860,WOIPPY (Gare),,+49.148634,+06.155258,0,10601
20833,475,GAMBETTA,,+49.149076,+06.160073,0,10429
21105,743,RUISSEAU,,+49.151112,+06.158716,0,10569
21107,855,JP PECHEUR,,+49.152043,+06.161432,0,10570
21108,856,POULMAIRE,,+49.151093,+06.165768,0,10571
20847,477,ROGET,,+49.148881,+06.167447,0,10436
20973,780,THERMES,,+49.050279,+06.183357,0,10503
10503,THERM,THERMES,,+49.050279,+06.183357,1,
20971,781,COLOMBIER,,+49.048226,+06.185612,0,10502
20969,782,POUILLY,,+49.049823,+06.188433,0,10501
21218,874,BELLEVUE,,+49.172239,+06.152838,0,10623
10623,WBELL,BELLEVUE,,+49.172239,+06.152838,1,
21221,876,SAINTE AGATHE,,+49.164260,+06.153709,0,10625
10625,steag,SAINTE AGATHE,,+49.164203,+06.153814,1,
21223,877,BRIEY,,+49.151277,+06.147213,0,10626
10626,BRIEY,BRIEY,,+49.151119,+06.147501,1,
21225,878,ARLES,,+49.145199,+06.151100,0,10627
10627,ARLES,ARLES,,+49.145686,+06.151001,1,
21226,881,ARLES,,+49.146173,+06.150903,0,10627
21224,882,BRIEY,,+49.150961,+06.147790,0,10626
21222,883,SAINTE AGATHE,,+49.164147,+06.153920,0,10625
21245,451.,St Eloy (C. Ccial),,+49.148186,+06.171778,0,10636
10636,Stelo,St Eloy (C. Ccial),,+49.148186,+06.171778,1,
21240,890,ST-REMY,,+49.173757,+06.161965,0,10633
10633,STREM,ST-REMY,,+49.173757,+06.161965,1,
21241,891,D953,,+49.162709,+06.160139,0,10634
10634,D953,D953,,+49.162728,+06.160220,1,
21391,875,ZONE HERGOTT,,+49.159781,+06.158916,0,10709
10709,HERGO,ZONE HERGOTT,,+49.159290,+06.158793,1,
21243,892,BERLANGE,,+49.155729,+06.157042,0,10635
10635,berle,BERLANGE,,+49.155934,+06.157178,1,
21244,893,BERLANGE,,+49.156139,+06.157314,0,10635
21400,884,ZONE HERGOTT,,+49.158799,+06.158671,0,10709
21242,894,D953,,+49.162748,+06.160301,0,10634
20705,3007,LILAS,,+49.095615,+06.143766,0,10360
10360,LILAS,LILAS,,+49.095649,+06.143597,1,
20703,3001,PAQUIS,,+49.101970,+06.142095,0,10359
10359,2PAQU,PAQUIS,,+49.101975,+06.141988,1,
20701,3002,VERGERS,,+49.102349,+06.145730,0,10358
10358,1VERG,VERGERS,,+49.102318,+06.145815,1,
20699,3003,CHATRIAN,,+49.103342,+06.149002,0,10357
10357,3CHAT,CHATRIAN,,+49.103301,+06.148871,1,
20696,3004,LES COUVENTS,,+49.103546,+06.152256,0,10356
10356,LCOUV,LES COUVENTS,,+49.103579,+06.152289,1,
20694,3005,MEURISSE,,+49.102278,+06.155149,0,10355
10355,MEURI,MEURISSE,,+49.102337,+06.155343,1,
20692,3006,POUGIN,,+49.100022,+06.154519,0,10354
10354,POUGI,POUGIN,,+49.100032,+06.154694,1,
20688,3008,ST EXUPERY,,+49.086988,+06.153127,0,10351
10351,EXUPE,ST EXUPERY,,+49.087056,+06.153070,1,
20180,3533,VOUERIE,,+49.085913,+06.155414,0,10350
10350,VOUER,VOUERIE,,+49.085913,+06.155414,1,
20687,3009,ST EXUPERY,,+49.087124,+06.153014,0,10351
20708,3010,JEANNE D'ARC,,+49.089257,+06.153446,0,10309
20693,3011,POUGIN,,+49.100042,+06.154870,0,10354
20695,3012,MEURISSE,,+49.102396,+06.155538,0,10355
20697,3013,LES COUVENTS,,+49.103613,+06.152323,0,10356
20698,3014,CHATRIAN,,+49.103260,+06.148740,0,10357
20700,3015,VERGERS,,+49.102288,+06.145900,0,10358
20702,3016,PAQUIS,,+49.101980,+06.141882,0,10359
20707,3017,ST QUENTIN,,+49.097827,+06.143301,0,10129
20704,3000,LILAS,,+49.095684,+06.143428,0,10360
21204,1220,BLD SEROT,,+49.121151,+06.167313,0,10618
10618,SEROT,BLD SEROT,,+49.121151,+06.167313,1,
21203,446,C.F.P.A.,,+49.142821,+06.171985,0,10119
